title;char;price
Смартфон Vivo Y20 4/64GB, черный;Диагональ экрана: 6.51Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Snapdragon 460 (8 ядер), 1.8 ГГц;10590
Смартфон Poco M3 4/128GB, черный J19C;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;14490
Смартфон realme С21 3/32GB, черный;Диагональ экрана: 6.5Оперативная память: 3 ГБВстроенная память: 32 ГБРазрешение основной камеры: 13Процессор: Helio G35 (8 ядер), 2.3 ГГц;8980
Смартфон Huawei P40 lite E 4/64GB, черный;Диагональ экрана: 6.39Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 48Процессор: Kirin 710F (8 ядер), 2.2 ГГц;11186
Смартфон Samsung 2/32GB, черный;Диагональ экрана: 6.5Оперативная память: 2 ГБВстроенная память: 32 ГБРазрешение основной камеры: 13Процессор: MT6739 (4 ядра), 1.5 ГГц;8990
Смартфон Apple iPhone 11 64GB, черный;Диагональ экрана: 6.1Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 12Процессор: A13 Bionic (6 ядер), 2.65 ГГц;47808
Смартфон Apple iPhone 11 64GB, фиолетовый;Диагональ экрана: 6.1Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 12Процессор: A13 Bionic (6 ядер), 2.65 ГГц;47765
Смартфон ZTE Blade L8 1/32GB, черный;Диагональ экрана: 5Оперативная память: 1 ГБВстроенная память: 32 ГБРазрешение основной камеры: 8Процессор: SC7731E (4 ядра), 1.3 ГГц;4480
Смартфон Apple iPhone 11 128GB, белый;Диагональ экрана: 6.1Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 12Процессор: A13 Bionic (6 ядер), 2.65 ГГц;52509
Смартфон BQ 6630L Magic L 3/32GB, черный;Диагональ экрана: 6.53Оперативная память: 3 ГБВстроенная память: 32 ГБРазрешение основной камеры: 12Процессор: SC9863A (8 ядер), 1.6 ГГц;6980
Смартфон Samsung Galaxy A01 Core 1/16GB, черный;Диагональ экрана: 5.3Оперативная память: 1 ГБВстроенная память: 16 ГБРазрешение основной камеры: 8Процессор: MT6739 (4 ядра), 1.5 ГГц;6490
Смартфон Nokia G20 4/128GB, синий;Диагональ экрана: 6.5Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Helio G35 (8 ядер), 2.3 ГГц;13990
Смартфон Xiaomi Redmi 9 4/64GB, фиолетовый;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Helio G80 (8 ядер), 2.0 ГГц;11612
Смартфон realme С21 3/32GB, голубой;Диагональ экрана: 6.5Оперативная память: 3 ГБВстроенная память: 32 ГБРазрешение основной камеры: 13Процессор: Helio G35 (8 ядер), 2.3 ГГц;8980
Смартфон realme 8 Pro 6/128GB, синий;Диагональ экрана: 6.4Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 108Процессор: Snapdragon 720G (8 ядер), 2.3 ГГц;23980
Смартфон Samsung Galaxy A32 4/128GB, голубой;Диагональ экрана: 6.4Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Helio G80 (8 ядер), 2.0 ГГц;19980
Смартфон Xiaomi Redmi 9A 2/32GB, серый;Диагональ экрана: 6.53Оперативная память: 2 ГБВстроенная память: 32 ГБРазрешение основной камеры: 13Процессор: Helio G25 (8 ядер), 2.0 ГГц;7572
